State,level_1,Date,Total,Category,lag_1,lag_7,lag_30,rolling_mean_4,month,week_of_year
Alabama,30,2020-05-03,128066131.0,Beverages,0.0,0.0,129106730.0,60191427.0,5,18
Alabama,31,2020-05-10,127906087.0,Beverages,128066131.0,0.0,0.0,61393077.5,5,19
Alabama,32,2020-05-17,0.0,Beverages,127906087.0,0.0,0.0,63993054.5,5,20
Alabama,33,2020-05-24,0.0,Beverages,0.0,123259529.0,0.0,63993054.5,5,21
Alabama,34,2020-05-31,0.0,Beverages,0.0,117506179.0,112189104.0,63993054.5,5,22
Alabama,35,2020-06-07,132304541.0,Beverages,0.0,0.0,110932913.0,31976521.75,6,23
Alabama,36,2020-06-14,0.0,Beverages,132304541.0,0.0,0.0,33076135.25,6,24
Alabama,37,2020-06-21,0.0,Beverages,0.0,128066131.0,0.0,33076135.25,6,25
Alabama,38,2020-06-28,0.0,Beverages,0.0,127906087.0,109574036.0,33076135.25,6,26
Alabama,39,2020-07-05,138414683.0,Beverages,0.0,0.0,108083724.0,33076135.25,7,27
Alabama,40,2020-07-12,129799793.0,Beverages,138414683.0,0.0,0.0,34603670.75,7,28
Alabama,41,2020-07-19,0.0,Beverages,129799793.0,0.0,0.0,67053619.0,7,29
Alabama,42,2020-07-26,0.0,Beverages,0.0,132304541.0,0.0,67053619.0,7,30
Alabama,43,2020-08-02,131945461.0,Beverages,0.0,0.0,104239954.0,67053619.0,8,31
Alabama,44,2020-08-09,137744835.0,Beverages,131945461.0,0.0,108717628.0,65436313.5,8,32
Alabama,45,2020-08-16,0.0,Beverages,137744835.0,0.0,0.0,67422574.0,8,33
Alabama,46,2020-08-23,0.0,Beverages,0.0,138414683.0,0.0,67422574.0,8,34
Alabama,47,2020-08-30,0.0,Beverages,0.0,129799793.0,108358280.0,67422574.0,8,35
Alabama,48,2020-09-06,137905687.0,Beverages,0.0,0.0,109022482.0,34436208.75,9,36
Alabama,49,2020-09-13,0.0,Beverages,137905687.0,0.0,0.0,34476421.75,9,37
Alabama,50,2020-09-20,0.0,Beverages,0.0,131945461.0,0.0,34476421.75,9,38
Alabama,51,2020-09-27,0.0,Beverages,0.0,137744835.0,116651493.0,34476421.75,9,39
Alabama,52,2020-10-04,133713630.0,Beverages,0.0,0.0,119441834.0,34476421.75,10,40
Alabama,53,2020-10-11,128170886.0,Beverages,133713630.0,0.0,0.0,33428407.5,10,41
Alabama,54,2020-10-18,0.0,Beverages,128170886.0,0.0,0.0,65471129.0,10,42
Alabama,55,2020-10-25,0.0,Beverages,0.0,137905687.0,0.0,65471129.0,10,43
Alabama,56,2020-11-01,120522114.0,Beverages,0.0,0.0,123259529.0,65471129.0,11,44
Alabama,57,2020-11-08,120902500.0,Beverages,120522114.0,0.0,117506179.0,62173250.0,11,45
Alabama,58,2020-11-15,0.0,Beverages,120902500.0,0.0,0.0,60356153.5,11,46
Alabama,59,2020-11-22,0.0,Beverages,0.0,133713630.0,0.0,60356153.5,11,47
Alabama,60,2020-11-29,0.0,Beverages,0.0,128170886.0,128066131.0,60356153.5,11,48
Alabama,61,2020-12-06,116104621.0,Beverages,0.0,0.0,127906087.0,30225625.0,12,49
Alabama,62,2020-12-13,0.0,Beverages,116104621.0,0.0,0.0,29026155.25,12,50
Alabama,63,2020-12-20,0.0,Beverages,0.0,120522114.0,0.0,29026155.25,12,51
Alabama,64,2020-12-27,0.0,Beverages,0.0,120902500.0,0.0,29026155.25,12,52
Alabama,65,2021-01-03,115331048.0,Beverages,0.0,0.0,132304541.0,29026155.25,1,53
Alabama,66,2021-01-10,117780959.0,Beverages,115331048.0,0.0,0.0,28832762.0,1,1
Alabama,67,2021-01-17,0.0,Beverages,117780959.0,0.0,0.0,58278001.75,1,2
Alabama,68,2021-01-24,0.0,Beverages,0.0,116104621.0,0.0,58278001.75,1,3
Alabama,69,2021-01-31,0.0,Beverages,0.0,0.0,138414683.0,58278001.75,1,4
Alabama,70,2021-02-07,117468184.0,Beverages,0.0,0.0,129799793.0,29445239.75,2,5
Alabama,71,2021-02-14,0.0,Beverages,117468184.0,0.0,0.0,29367046.0,2,6
Alabama,72,2021-02-21,0.0,Beverages,0.0,115331048.0,0.0,29367046.0,2,7
Alabama,73,2021-02-28,0.0,Beverages,0.0,117780959.0,131945461.0,29367046.0,2,8
Alabama,74,2021-03-07,126283023.0,Beverages,0.0,0.0,137744835.0,29367046.0,3,9
Alabama,75,2021-03-14,0.0,Beverages,126283023.0,0.0,0.0,31570755.75,3,10
Alabama,76,2021-03-21,0.0,Beverages,0.0,0.0,0.0,31570755.75,3,11
Alabama,77,2021-03-28,0.0,Beverages,0.0,117468184.0,0.0,31570755.75,3,12
Alabama,78,2021-04-04,131843895.0,Beverages,0.0,0.0,137905687.0,31570755.75,4,13
Alabama,79,2021-04-11,126097509.0,Beverages,131843895.0,0.0,0.0,32960973.75,4,14
Alabama,80,2021-04-18,0.0,Beverages,126097509.0,0.0,0.0,64485351.0,4,15
Alabama,81,2021-04-25,0.0,Beverages,0.0,126283023.0,0.0,64485351.0,4,16
Alabama,82,2021-05-02,134697460.0,Beverages,0.0,0.0,133713630.0,64485351.0,5,17
Alabama,83,2021-05-09,136554064.0,Beverages,134697460.0,0.0,128170886.0,65198742.25,5,18
Alabama,84,2021-05-16,0.0,Beverages,136554064.0,0.0,0.0,67812881.0,5,19
Alabama,85,2021-05-23,0.0,Beverages,0.0,131843895.0,0.0,67812881.0,5,20
Alabama,86,2021-05-30,0.0,Beverages,0.0,126097509.0,120522114.0,67812881.0,5,21
Alabama,87,2021-06-06,140893518.0,Beverages,0.0,0.0,120902500.0,34138516.0,6,22
Alabama,88,2021-06-13,0.0,Beverages,140893518.0,0.0,0.0,35223379.5,6,23
Alabama,89,2021-06-20,0.0,Beverages,0.0,134697460.0,0.0,35223379.5,6,24
Alabama,90,2021-06-27,0.0,Beverages,0.0,136554064.0,0.0,35223379.5,6,25
Alabama,91,2021-07-04,150209239.0,Beverages,0.0,0.0,116104621.0,35223379.5,7,26
Alabama,92,2021-07-11,137692247.0,Beverages,150209239.0,0.0,0.0,37552309.75,7,27
Alabama,93,2021-07-18,0.0,Beverages,137692247.0,0.0,0.0,71975371.5,7,28
Alabama,94,2021-07-25,0.0,Beverages,0.0,140893518.0,0.0,71975371.5,7,29
Alabama,95,2021-08-01,146096098.0,Beverages,0.0,0.0,115331048.0,71975371.5,8,30
Alabama,96,2021-08-08,151796623.0,Beverages,146096098.0,0.0,117780959.0,70947086.25,8,31
Alabama,97,2021-08-15,0.0,Beverages,151796623.0,0.0,0.0,74473180.25,8,32
Alabama,98,2021-08-22,0.0,Beverages,0.0,150209239.0,0.0,74473180.25,8,33
Alabama,99,2021-08-29,0.0,Beverages,0.0,137692247.0,0.0,74473180.25,8,34
Alabama,100,2021-09-05,148892734.0,Beverages,0.0,0.0,117468184.0,37949155.75,9,35
Alabama,101,2021-09-12,142022733.0,Beverages,148892734.0,0.0,0.0,37223183.5,9,36
Alabama,102,2021-09-19,0.0,Beverages,142022733.0,146096098.0,0.0,72728866.75,9,37
Alabama,103,2021-09-26,0.0,Beverages,0.0,151796623.0,0.0,72728866.75,9,38
Alabama,104,2021-10-03,203436378.0,Beverages,0.0,0.0,126283023.0,72728866.75,10,39
Alabama,105,2021-10-10,198855812.0,Beverages,203436378.0,0.0,0.0,86364777.75,10,40
Alabama,106,2021-10-17,0.0,Beverages,198855812.0,0.0,0.0,100573047.5,10,41
Alabama,107,2021-10-24,0.0,Beverages,0.0,148892734.0,0.0,100573047.5,10,42
Alabama,108,2021-10-31,0.0,Beverages,0.0,142022733.0,131843895.0,100573047.5,10,43
Alabama,109,2021-11-07,184678477.0,Beverages,0.0,0.0,126097509.0,49713953.0,11,44
Alabama,110,2021-11-14,0.0,Beverages,184678477.0,0.0,0.0,46169619.25,11,45
Alabama,111,2021-11-21,0.0,Beverages,0.0,203436378.0,0.0,46169619.25,11,46
Alabama,112,2021-11-28,0.0,Beverages,0.0,198855812.0,134697460.0,46169619.25,11,47
Alabama,113,2021-12-05,180600248.0,Beverages,0.0,0.0,136554064.0,46169619.25,12,48
Alabama,114,2021-12-12,182041354.0,Beverages,180600248.0,0.0,0.0,45150062.0,12,49
Alabama,115,2021-12-19,0.0,Beverages,182041354.0,0.0,0.0,90660400.5,12,50
Alabama,116,2021-12-26,0.0,Beverages,0.0,184678477.0,0.0,90660400.5,12,51
Alabama,117,2022-01-02,179002839.0,Beverages,0.0,0.0,140893518.0,90660400.5,1,52
Alabama,118,2022-01-09,178676924.0,Beverages,179002839.0,0.0,0.0,90261048.25,1,1
Alabama,119,2022-01-16,0.0,Beverages,178676924.0,0.0,0.0,89419940.75,1,2
Alabama,120,2022-01-23,0.0,Beverages,0.0,180600248.0,0.0,89419940.75,1,3
Alabama,121,2022-01-30,0.0,Beverages,0.0,182041354.0,150209239.0,89419940.75,1,4
Alabama,122,2022-02-06,184970125.0,Beverages,0.0,0.0,137692247.0,44669231.0,2,5
Alabama,123,2022-02-13,0.0,Beverages,184970125.0,0.0,0.0,46242531.25,2,6
Alabama,124,2022-02-20,0.0,Beverages,0.0,179002839.0,0.0,46242531.25,2,7
Alabama,125,2022-02-27,0.0,Beverages,0.0,178676924.0,146096098.0,46242531.25,2,8
Alabama,126,2022-03-06,197917628.0,Beverages,0.0,0.0,151796623.0,46242531.25,3,9
Alabama,127,2022-03-13,0.0,Beverages,197917628.0,0.0,0.0,49479407.0,3,10
Alabama,128,2022-03-20,0.0,Beverages,0.0,0.0,0.0,49479407.0,3,11
Alabama,129,2022-03-27,0.0,Beverages,0.0,184970125.0,0.0,49479407.0,3,12
Alabama,130,2022-04-03,200427370.0,Beverages,0.0,0.0,148892734.0,49479407.0,4,13
Alabama,131,2022-04-10,202888791.0,Beverages,200427370.0,0.0,142022733.0,50106842.5,4,14
Alabama,132,2022-04-17,0.0,Beverages,202888791.0,0.0,0.0,100829040.25,4,15
Alabama,133,2022-04-24,0.0,Beverages,0.0,197917628.0,0.0,100829040.25,4,16
Alabama,134,2022-05-01,207976103.0,Beverages,0.0,0.0,203436378.0,100829040.25,5,17
Alabama,135,2022-05-08,207537233.0,Beverages,207976103.0,0.0,198855812.0,102716223.5,5,18
Alabama,136,2022-05-15,0.0,Beverages,207537233.0,0.0,0.0,103878334.0,5,19
Alabama,137,2022-05-22,0.0,Beverages,0.0,200427370.0,0.0,103878334.0,5,20
Alabama,138,2022-05-29,0.0,Beverages,0.0,202888791.0,0.0,103878334.0,5,21
Alabama,139,2022-06-05,209711182.0,Beverages,0.0,0.0,184678477.0,51884308.25,6,22
Alabama,140,2022-06-12,209838488.0,Beverages,209711182.0,0.0,0.0,52427795.5,6,23
Alabama,141,2022-06-19,0.0,Beverages,209838488.0,207976103.0,0.0,104887417.5,6,24
Alabama,142,2022-06-26,0.0,Beverages,0.0,207537233.0,0.0,104887417.5,6,25
Alabama,143,2022-07-03,226966251.0,Beverages,0.0,0.0,180600248.0,104887417.5,7,26
Alabama,144,2022-07-10,212433149.0,Beverages,226966251.0,0.0,182041354.0,109201184.75,7,27
Alabama,145,2022-07-17,0.0,Beverages,212433149.0,0.0,0.0,109849850.0,7,28
Alabama,146,2022-07-24,0.0,Beverages,0.0,209711182.0,0.0,109849850.0,7,29
Alabama,147,2022-07-31,0.0,Beverages,0.0,209838488.0,179002839.0,109849850.0,7,30
Alabama,148,2022-08-07,226809535.0,Beverages,0.0,0.0,178676924.0,53108287.25,8,31
Alabama,149,2022-08-14,0.0,Beverages,226809535.0,0.0,0.0,56702383.75,8,32
Alabama,150,2022-08-21,0.0,Beverages,0.0,226966251.0,0.0,56702383.75,8,33
Alabama,151,2022-08-28,0.0,Beverages,0.0,212433149.0,0.0,56702383.75,8,34
Alabama,152,2022-09-04,227759611.0,Beverages,0.0,0.0,184970125.0,56702383.75,9,35
