State,Best_Model,RMSE
Alabama,XGBoost,96176605.3279211
Arizona,XGBoost,100058318.41577531
Arkansas,XGBoost,38286233.33536263
California,ARIMA,417583014.8507701
Colorado,ARIMA,85710200.83069493
Connecticut,XGBoost,43351555.682155326
Florida,ARIMA,368524908.234181
Georgia,XGBoost,156221475.98685813
Illinois,XGBoost,125580608.97151135
Indiana,XGBoost,104733021.2828428
Iowa,XGBoost,50991351.76525714
Kansas,XGBoost,31526651.353845757
Kentucky,XGBoost,82890179.36694133
Louisiana,XGBoost,69290711.26174112
Maine,XGBoost,17989381.75519892
Maryland,ARIMA,78041392.19732796
Massachusetts,XGBoost,80738227.14758378
Michigan,XGBoost,104804464.07596147
Minnesota,XGBoost,61858941.231256716
Mississippi,XGBoost,46592070.20906225
Missouri,XGBoost,90996574.91533506
Nebraska,XGBoost,21698738.725996904
Nevada,XGBoost,36641632.37779832
New Hampshire,XGBoost,19612261.157056842
New Mexico,XGBoost,26095312.032450948
New York,XGBoost,197959198.69519827
North Carolina,XGBoost,161705686.87802142
Ohio,XGBoost,175446826.5078147
Oklahoma,ARIMA,72865704.99845141
Oregon,XGBoost,39421431.09543952
Pennsylvania,XGBoost,127024564.48043689
Rhode Island,XGBoost,12942999.392871117
South Carolina,ARIMA,98063463.87565555
South Dakota,XGBoost,13401621.892476786
Tennessee,ARIMA,129932935.97565523
Texas,XGBoost,312940460.3960531
Utah,XGBoost,38537645.41535303
Vermont,ARIMA,8984913.252710035
Virginia,XGBoost,131650558.37139143
Washington,XGBoost,74198255.62196955
West Virginia,XGBoost,25500546.975178204
Wisconsin,XGBoost,55161826.8494509
Wyoming,XGBoost,10058367.342970204
